Date,AAPL_High,AMZN_High,BRK-B_High,GOOGL_High,JNJ_High,META_High,MSFT_High,NVDA_High,TSLA_High,V_High
2024-02-21,182.03049388623003,170.22999572753906,409.4800109863281,142.17460418355395,153.75733351298936,467.710987586597,399.24196429062215,68.86847997939597,199.44000244140625,274.9189466527282
2024-02-22,184.09076354210745,174.8000030517578,416.260009765625,144.47625097399344,155.74362525692894,488.6432912803049,409.70205797134184,78.55273152131424,198.32000732421875,281.9564446056861
2024-02-23,184.17036202409395,175.75,420.55999755859375,144.15741838056348,157.20667697433217,493.0013030163017,412.70912252547726,82.37063653230604,197.57000732421875,283.83245088643974
2024-02-26,181.90109579673225,176.3699951171875,430.0,141.9255095674052,156.97413235098395,484.80388578084165,409.0371695148512,80.62314814859076,201.77999877929688,283.23690211715154
2024-02-27,183.05562869813585,174.6199951171875,409.9599914550781,138.74703089223482,156.03429839288748,485.9307613087294,405.2262404801438,79.45747419233632,205.6000061035156,282.0656231727667
2024-02-28,182.25939032452453,174.0500030517578,414.6700134277344,137.5114921166886,156.5865597349832,489.7003746334571,406.1987830728558,78.9106201646737,205.3000030517578,284.0110983264072
2024-02-29,181.71198177710176,177.22000122070312,413.7900085449219,138.35843374900972,157.14854362513907,490.3486207729217,411.06170550216336,79.96732622132019,205.27999877929688,283.54456064856896
2024-03-01,179.6815803178056,178.72999572753906,410.3900146484375,138.36838489752787,157.51674319328714,502.864116895511,412.71902889421233,82.27667403889559,204.52000427246097,282.80015102381145
2024-03-04,176.0686126971914,180.13999938964844,405.9500122070313,135.17000103766665,156.58656806827804,503.0336277038722,414.18785690698894,87.67014847781654,199.75,280.90428567838654
2024-03-05,171.2314705105848,176.92999267578125,403.3299865722656,132.75874436377524,156.2280711886475,494.217903781668,411.1112969231929,86.07663632751537,184.58999633789065,278.9091590265801
2024-03-06,170.43522699407845,176.4600067138672,407.44000244140625,133.09750287827276,155.92770421622714,501.5876277126765,402.0902036474927,89.70277597405403,181.5800018310547,279.91168282525115
2024-03-07,169.92763018116116,177.99000549316406,406.3999938964844,134.4525976438854,155.37542282773975,518.4212078949104,406.6752047214003,92.74505586042169,180.0399932861328,279.0878868094392
2024-03-08,172.88365534695112,178.7899932861328,403.3599853515625,137.59121089480263,155.40449118105133,522.1310161834099,407.3103404061873,97.37696845591752,182.72999572753903,279.5841511833119
2024-03-11,173.56048535052068,174.47000122070312,405.010009765625,138.59758760715184,156.30559749946497,495.95313873552806,402.6062316222378,88.77598763810909,182.8699951171875,278.69076670046206
2024-03-12,173.2121062975323,176.75999450683594,407.2000122070313,138.87655156654463,158.03993655678673,500.92945706495095,412.4212950799544,91.93825182530048,179.42999267578125,282.373355500027
2024-03-13,172.37607625258147,177.6199951171875,409.0,140.58037207166473,157.6233126437324,499.6030811930546,415.0115145438447,91.48235245425684,176.0500030517578,283.98135534960835
2024-03-14,173.49080701178275,179.52999877929688,409.0799865722656,143.07135027588964,156.5187468668572,499.972095675005,424.5785058716351,90.6245591375688,171.1699981689453,286.89956070936495
2024-03-15,171.80874633789062,177.92999267578125,408.4599914550781,142.66281985185842,154.24179858495026,490.47823604438105,419.39806083838096,89.5248185728374,165.17999267578125,283.5147859743608
2024-03-18,176.87481800543844,176.69000244140625,410.6000061035156,151.6004316065011,153.7573299894271,496.0528983580825,417.54221722990445,92.38313682655732,174.72000122070312,284.1103715980282
2024-03-19,175.77999515234478,176.08999633789062,412.19000244140625,148.25255391537198,151.9842208727622,495.2650718864235,418.4751417976777,90.52258665813424,172.82000732421875,285.92684072312176
2024-03-20,177.830322265625,178.52999877929688,416.30999755859375,148.3223204856581,151.57728208658128,506.8032419586182,422.7325977803486,90.3886171092284,176.25,287.7234446693191
2024-03-21,176.65586961417029,181.4199981689453,417.8299865722656,149.82686316822054,152.0714185900992,513.624431278809,427.55578606152034,92.6260863495621,178.17999267578125,288.8053232379307
2024-03-22,172.23673773536032,179.25999450683594,414.3500061035156,151.0325052525323,151.49975688522477,508.5683860811608,426.6030252593982,94.75557583351618,171.1999969482422,288.33882431783496
2024-03-25,171.13194711675715,180.9900054931641,411.0700073242187,149.8368319482388,151.1315737677553,505.82591975054345,424.1716107025241,96.74310530536228,175.24000549316406,281.40061395452415
2024-03-26,170.61440032318552,180.4499969482422,412.6600036621094,151.71003147002185,151.37379381760277,508.5983047664013,422.762312878124,96.35220139167362,184.25,282.02595300527287
2024-03-27,172.78414425918754,180.0,417.2099914550781,151.09226569075258,153.30194649860775,498.516111326027,421.2340147133464,93.21794358660644,181.91000366210935,279.16726298372504
2024-03-28,171.4205780589011,181.6999969482422,421.44000244140625,150.88303594669563,154.19335580971074,491.53535961588767,418.6735682140503,91.2784021447898,179.57000732421875,277.72797503422703
2024-04-01,170.4451942217802,183.0,421.6600036621094,155.17748752690167,153.23411994075104,496.062849004547,424.6479711391923,92.20318040940828,176.75,278.8099260721026
2024-04-02,168.54414366405445,180.7899932861328,421.010009765625,154.14121795265817,152.92407650844513,496.1625851475767,419.17973696688534,90.0726859356908,167.69000244140625,277.26147584379214
2024-04-03,169.8778497555363,182.8699951171875,421.9100036621094,154.5198535860717,153.13722800366796,505.84588531504744,420.0530500088036,90.3526251834598,168.82000732421875,278.40294901971413
2024-04-04,171.1120488206033,185.1000061035156,424.5199890136719,154.21098857209273,150.666483994781,528.543355513111,425.4220608182633,90.61255911907426,177.19000244140625,277.0132839200427
