Date,Average Close
2024-04-09,216.96516366836127
2024-04-10,213.36808080848203
2024-04-11,213.52827319748906
2024-04-12,211.45326536073597
2024-04-15,209.0558351070509
2024-04-16,208.47759968643888
2024-04-17,207.68447337019333
2024-04-18,207.41807636208492
2024-04-19,207.0264673145539
2024-04-22,208.5235788581568
2024-04-23,210.9470104471259
2024-04-24,210.5682282054096
2024-04-25,209.18193381860715
2024-04-26,209.05553203547765
2024-04-29,209.48144902658026
2024-04-30,206.5234694327783
2024-05-01,205.65394746272935
2024-05-02,206.8338525317131
2024-05-03,208.7283096597829
2024-05-06,210.7178818195238
2024-05-07,211.8439865134178
2024-05-08,210.8321477557541
2024-05-09,213.02930778538416
2024-05-10,213.3941240791881
2024-05-13,212.33999905017538
2024-05-14,212.96940749719602
2024-05-15,216.01997210126405
2024-05-16,214.8766566066567
2024-05-17,215.28063383014924
2024-05-20,215.4605559515297
2024-05-21,215.12760057580581
2024-05-22,213.94193247261398
2024-05-23,211.4140583003333
2024-05-24,212.15120513504797
2024-05-28,210.4843022670221
2024-05-29,208.34676800736594
2024-05-30,208.3245122629568
2024-05-31,211.19394285307018
2024-06-03,209.9373340737929
2024-06-04,209.3735490020262
2024-06-05,211.48601288751723
2024-06-06,210.87607247238859
2024-06-07,210.10636601316818
2024-06-10,211.8655117892344
2024-06-11,211.64097504659532
2024-06-12,213.7709456780635
2024-06-13,213.53392009122655
2024-06-14,212.43986998129327
2024-06-17,214.4413634877686
2024-06-18,214.45504051610965
2024-06-20,214.36084577577924
2024-06-21,215.00044503999413
2024-06-24,215.8249103366782
2024-06-25,214.48402447219289
2024-06-26,214.4003217023447
2024-06-27,214.76975146783602
2024-06-28,214.54524575460943
2024-07-01,212.78445122438833
2024-07-02,213.56895630950228
2024-07-03,213.59693187967352
2024-07-05,214.04328701036786
2024-07-08,213.50563115725234
2024-07-09,212.87682373447504
2024-07-10,215.12573440543048
2024-07-11,218.08331570995452
2024-07-12,219.4729952376727
2024-07-15,220.27628277643632
2024-07-16,225.27588605009802
2024-07-17,221.8702438476423
2024-07-18,220.24499361917853
2024-07-19,219.17281146463193
2024-07-22,222.0748480487632
2024-07-23,221.41766037788565
2024-07-24,217.89743381657013
2024-07-25,219.1457102745091
2024-07-26,222.58201919625338
2024-07-29,222.53948276990081
2024-07-30,223.42122239064952
2024-07-31,225.02334032102263
2024-08-01,223.07670816221193
2024-08-02,219.92634216291174
2024-08-05,214.63919616072144
2024-08-06,216.62513472282723
2024-08-07,215.30106529688726
2024-08-08,220.3313414582379
2024-08-09,221.50582468346374
2024-08-12,221.22574193074823
2024-08-13,223.42330961140323
2024-08-14,224.06674018406977
2024-08-15,226.5252385074145
2024-08-16,226.84150876519888
2024-08-19,228.82148797544716
2024-08-20,227.97761771014837
2024-08-21,229.81699589724954
2024-08-22,229.18730409613482
2024-08-23,232.46246010418895
2024-08-26,231.27673092062614
2024-08-27,231.2857707559246
2024-08-28,230.4942212017704
2024-08-29,231.08638856400094
