Date,AAPL,AMZN,BRK-B,GOOGL,JNJ,META,MSFT,NVDA,TSLA,V
2024-02-21,181.4631805419922,168.58999633789062,409.25,142.0351104736328,153.7476348876953,466.74365234375,399.1327819824219,67.452880859375,194.77000427246094,274.71051025390625
2024-02-22,183.50352478027344,174.5800018310547,415.1600036621094,143.5695343017578,155.46263122558594,484.7939147949219,408.531005859375,78.5157470703125,197.41000366210938,281.64874267578125
2024-02-23,181.66221618652344,174.99000549316406,417.2200012207031,143.44003295898438,156.80941772460938,482.69970703125,407.23095703125,78.7946548461914,191.97000122070312,281.4998474121094
2024-02-26,180.30862426757812,174.72999572753906,409.1400146484375,137.07310485839844,155.79205322265625,480.41595458984375,404.4521789550781,79.06958770751953,199.39999389648438,282.0457763671875
2024-02-27,181.77169799804688,173.5399932861328,408.9100036621094,138.3783721923828,155.97616577148438,485.71136474609375,404.3926086425781,78.6786880493164,199.72999572753906,281.0730285644531
2024-02-28,180.5673828125,173.16000366210938,412.1400146484375,135.88739013671875,156.52842712402344,482.689697265625,404.6307678222656,77.64098358154297,202.0399932861328,283.5148010253906
2024-02-29,179.90052795410156,176.75999450683594,409.3999938964844,137.9598846435547,156.3637237548828,488.7829284667969,410.5059509277344,79.0895767211914,201.8800048828125,280.54693603515625
2024-03-01,178.815673828125,178.22000122070312,407.1099853515625,136.64463806152344,157.08071899414062,500.9194641113281,412.3518371582031,82.25567626953125,202.63999938964844,281.0631103515625
2024-03-04,174.27708435058594,177.5800018310547,403.3900146484375,132.86834716796875,154.87158203125,496.82073974609375,411.7762756347656,85.21284484863281,188.13999938964844,278.45257568359375
2024-03-05,169.32049560546875,174.1199951171875,400.739990234375,132.1907958984375,154.99754333496094,488.8726501464844,399.59918212890625,85.94366455078125,180.74000549316406,277.31109619140625
2024-03-06,168.32518005371094,173.50999450683594,403.9599914550781,130.9253692626953,154.3871307373047,494.7265319824219,399.04345703125,88.67901611328125,176.5399932861328,278.3533020019531
2024-03-07,168.2057647705078,176.82000732421875,402.3900146484375,133.89462280273438,153.93173217773438,510.78228759765625,406.0400695800781,92.64707946777344,178.64999389648438,276.1994323730469
2024-03-08,169.9276123046875,175.35000610351562,403.1499938964844,134.9208984375,154.56153869628906,504.5594482421875,403.14215087890625,87.5073013305664,175.33999633789062,277.9662170410156
2024-03-11,171.93814086914062,171.9600067138672,404.760009765625,137.17274475097656,156.2183837890625,482.2608642578125,401.45501708984375,85.75370788574219,177.77000427246094,278.4823303222656
2024-03-12,172.41586303710938,175.38999938964844,404.9800109863281,137.99972534179688,157.6814422607422,498.3764953613281,412.13348388671875,91.89126586914062,177.5399932861328,281.8175048828125
2024-03-13,170.3257598876953,176.55999755859375,408.1300048828125,139.28506469726562,156.09243774414062,494.20794677734375,411.9548645019531,90.86650085449219,169.47999572753906,283.0284729003906
2024-03-14,172.1869659423828,178.75,406.7300109863281,142.5831298828125,154.2611846923828,490.4782409667969,421.9981994628906,87.9231948852539,162.5,284.2890319824219
2024-03-15,171.80874633789062,174.4199981689453,408.1300048828125,140.6700439453125,153.26318359375,482.7695007324219,413.264892578125,87.81622314453125,163.57000732421875,280.9439697265625
2024-03-18,172.903564453125,174.47999572753906,408.4100036621094,147.14657592773438,151.88731384277344,495.6141052246094,414.1580505371094,88.43407440185547,173.8000030517578,282.9390869140625
2024-03-19,175.2524871826172,175.89999389648438,411.760009765625,146.49891662597656,151.35443115234375,494.8761291503906,418.21710205078125,89.37686157226562,171.32000732421875,285.22210693359375
2024-03-20,177.830322265625,178.14999389648438,416.1099853515625,148.2027587890625,150.9184112548828,504.1305847167969,422.0081481933594,90.35062408447266,175.66000366210938,287.1378173828125
2024-03-21,170.5646209716797,178.14999389648438,413.7799987792969,147.06687927246094,150.90872192382812,506.3644714355469,426.11676025390625,91.41336822509766,172.82000732421875,288.2196960449219
2024-03-22,171.47035217285156,178.8699951171875,411.6000061035156,150.22543334960938,150.40487670898438,508.179443359375,425.49151611328125,94.26669311523438,170.8300018310547,281.1623840332031
2024-03-25,170.0470733642578,179.7100067138672,409.9200134277344,149.5279541015625,150.39520263671875,501.637451171875,419.65606689453125,94.97952270507812,172.6300048828125,279.1275634765625
2024-03-26,168.91244506835938,178.3000030517578,411.57000732421875,150.1257781982422,150.9281005859375,494.527099609375,418.4552001953125,92.53910064697266,177.6699981689453,278.5220947265625
2024-03-27,172.49549865722656,179.8300018310547,416.92999267578125,150.32504272460938,153.05003356933594,492.5026550292969,418.23687744140625,90.22865295410156,179.8300018310547,276.9537658691406
2024-03-28,170.67410278320312,180.3800048828125,420.5199890136719,150.3848419189453,153.27288818359375,484.24542236328125,417.53228759765625,90.33462524414062,175.7899932861328,277.0133056640625
2024-04-01,169.23092651367188,180.97000122070312,420.20001220703125,154.9283905029297,152.87562561035156,489.99957275390625,421.3531188964844,90.34162139892578,175.22000122070312,276.21923828125
2024-04-02,168.04649353027344,180.69000244140625,418.9200134277344,154.00172424316406,152.82717895507812,496.0030212402344,418.2468566894531,89.43083953857422,166.6300048828125,276.3780822753906
2024-04-03,168.85269165039062,182.41000366210938,420.239990234375,154.3604278564453,149.46502685546875,505.3472595214844,417.26434326171875,88.94295501708984,168.3800048828125,274.90899658203125
2024-04-04,168.02662658691406,180.0,415.32000732421875,149.98629760742188,147.75973510742188,509.51580810546875,414.71380615234375,85.88467407226562,171.11000061035156,271.9709167480469
2024-04-05,168.78302001953125,185.07000732421875,418.6199951171875,151.9491729736328,147.65318298339844,525.890625,422.2959289550781,87.9871826171875,164.89999389648438,275.0876770019531
